motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_high_not_overlap	n_low_overlap	n_low_not_overlap	firth_status	converged	iterations	coefficient	standard_error	p_value	odds_ratio	ci_lower_95	ci_upper_95	log_likelihood_penalized	warning_text	model_context	analysis_version	pooling_strategy	global_fdr	cell_fdr
FOX_4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_5	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_6	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_7	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_8	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
FOX_9	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GATA	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GC-tract	Follicular_T_Helper	strict_primary	2061	12	2049	5	0	12	5	2044	firth_fit_ok	True	11.0	2.84851493888195		0.17845259756536	17.262127481799	0.123245546703394	201.832503243848	-71.5900812240345		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.307402933477315	0.2230657469567
GCM	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GFI	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GLI	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GLIS	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GMEB2_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GMEB2_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GMEB2_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
GRHL	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HAND1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_10	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_11	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_12	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_13	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_14	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_15	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_16	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_17	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_18	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_19	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_20	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_21	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_22	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	3.95915644313736		0.09953258834629	52.4130938705587	0.316449979422486	1366.32100610349	-72.3924324142399		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.256460390795695	0.167660685138141
HD_23	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_24	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_25	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_5	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_6	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_7	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_8	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HD_9	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HEN1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HIC_1	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	3.95915644313736		0.09953258834629	52.4130938705587	0.316449979422486	1366.32100610349	-72.3924324142399		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.256460390795695	0.167660685138141
HIC_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HIF	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HINFP1_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HINFP1_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HINFP1_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HLTF	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HOMEZ	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HSF	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
HSFY2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
INSM1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
IRF_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
IRF_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
IRF_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
IRF_4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
KAISO	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
KLF_SP_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
