motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_low_overlap	model_status	converged	coefficient	standard_error	z_value	p_value	odds_ratio	ci_lower_95	ci_upper_95	vif_motif_overlap	vif_splice_distance	vif_tss_distance	vif_gc_fraction	valid_primary_model	p_adj_global_bh	p_adj_celltype_bh	significant_global_fdr	significant_celltype_fdr	effect_direction	max_vif
NFI_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NFI_2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NFI_2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NFI_2	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NFI_3	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NFI_3	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_3	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NFKB_3	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NFY	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NFY	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NFY	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NFY	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR2E3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR2E3	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR2E3	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR2E3	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR2E3	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NRF1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NRF1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NRF1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_10	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_10	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_10	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_10	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_10	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_11	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_11	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_11	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_11	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_12	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_12	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_12	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_12	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_13	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_13	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_13	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_13	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_14	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_14	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_14	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_14	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_14	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_14	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_16	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_17	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_17	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_17	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_17	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_18	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_18	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_18	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_18	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_19	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_19	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_19	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_19	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_2	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_20	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_20	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_20	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_20	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_4	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_4	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_4	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_4	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_5	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_5	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_5	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_5	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_5	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_5	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_6	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_6	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_6	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_6	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_6	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_7	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_7	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_7	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_8	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_8	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_8	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_8	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_9	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_9	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_9	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_9	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
NR_9	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
OCT4+SOX2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
OCT4+SOX2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
OCT4+SOX2	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
OCT4+SOX2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
OCT4+SOX2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
OSR2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
OSR2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
OSR2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
OSR2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
OVOL1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
OVOL1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
OVOL1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
OVOL1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
OVOL1	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_2	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_3	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_3	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
P53-like_3	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX-halfsite	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX-halfsite	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX-halfsite	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX-halfsite	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX-halfsite	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX-halfsite	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX_1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX_1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX_1	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
PAX_2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PLAG1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PLAG1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PLAG1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PLAG1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_1	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_2	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_2	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_2	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_3	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_3	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_3	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
POU_3	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM14	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM14	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM14	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM14	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM14	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM16	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM16	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM16	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM16	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM4	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM4	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM4	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM5	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM5	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM5	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM5	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM9	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM9	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM9	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PRDM9	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PROX1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
PROX1	Memory_Tregs	strict_primary	3684	14	3670	0	0	0	skip_motif_no_variation	False												False			False	False		
PROX1	Monocytes	strict_primary	96771	1256	95515	0	0	0	skip_motif_no_variation	False												False			False	False		
PROX1	Naive_B	strict_primary	2702	11	2691	0	0	0	skip_motif_no_variation	False												False			False	False		
PROX1	Naive_CD8_T	strict_primary	2080	13	2067	0	0	0	skip_motif_no_variation	False												False			False	False		
PROX1	Naive_Tregs	strict_primary	77304	149	77155	0	0	0	skip_motif_no_variation	False												False			False	False		
RBPJ	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	0	skip_motif_no_variation	False												False			False	False		
